id,num,string,=+,*,(,),and,or,=,!=,<,<=,>,>=,create,table,;,int,",",varchar,char,drop,insert,into,values,update,set,where,select,from,$,S',S,ID,NUM,STRING,NUM_OPERATOR,NUM_OPERATOR_E,NUM_OPERATOR_T,NUM_OPERATOR_F,LOGIC_OPERATOR,LOGIC_OPERATOR_E,LOGIC_OPERATOR_T,LOGIC_OPERATOR_F,CREATE,FIELDS,DROP,INSERT,VALUES,UPDATE,SETS,WHERE,SELECTOR
,,,r9,r9,,r9,r9,r9,,,,,,,,,r9,,r9,,,,,,,,,r9,,,r9,,,,,,,,,,,,,,,,,,,,,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,,89,62,63,,,,,,,,,,,,,
,,,r11,r11,,r11,r11,r11,,,,,,,,,r11,,r11,,,,,,,,,r11,,,r11,,,,,,,,,,,,,,,,,,,,,,
,,,r12,r12,,r12,r12,r12,,,,,,,,,r12,,r12,,,,,,,,,r12,,,r12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r51,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,90,46,,,,,,,,,
s14,,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,91,,,,,,,,,
,,,,,,s92,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s14,s56,s57,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,93,94,61,62,63,,,,,,,,,,,,,
s14,s56,s57,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,95,96,61,62,63,,,,,,,,,,,,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,97,61,62,63,,,,,,,,,,,,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,98,61,62,63,,,,,,,,,,,,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,99,61,62,63,,,,,,,,,,,,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,100,61,62,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s7,,,,,,,s8,s9,,,s10,,,s6,,r1,,101,,,,,,,,,,,,2,,3,4,,5,,,
,,,,,,,,,,,,,,,,,,s35,,s36,s37,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,
,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,,,,,,,,,,,,,106,,,,
,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,,,,,,,,,,,,,107,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,108,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,109,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,,,110,63,,,,,,,,,,,,,
s14,s56,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65,,,,,111,,,,,,,,,,,,,
,,,s87,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r14,r14,s69,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r16,r16,r16,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r18,r18,r18,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r19,r19,r19,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r21,r21,r21,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r20,r20,r20,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r22,r22,r22,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r23,r23,r23,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r24,r24,r24,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r25,r25,r25,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r26,r26,r26,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,
s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s7,,,,,,,s8,s9,,,s10,,,s6,,r1,,115,,,,,,,,,,,,2,,3,4,,5,,,
,,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r46,,,,,,,,,,,r46,,,r46,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r48,,,,,,,,,,,r48,,,r48,,,,,,,,,,,,,,,,,,,,,,
,,,r6,s88,,r6,r6,r6,,,,,,,,,r6,,r6,,,,,,,,,r6,,,r6,,,,,,,,,,,,,,,,,,,,,,
,,,r8,r8,,r8,r8,r8,,,,,,,,,r8,,r8,,,,,,,,,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,
,,,r10,r10,,r10,r10,r10,,,,,,,,,r10,,r10,,,,,,,,,r10,,,r10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r31,,,,,,,,,,,,,s116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r33,,,,,,,,,,,,,s117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s35,,s36,s37,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,
,,,,,,,,,,,,,,,,,,s35,,s36,s37,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,
,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
